"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2021-09-25;"9834";APV;"6M";0.0038107025806082855620
2021-09-25;"9834";APV;"1Y";0.0038107025806082855620
2021-09-25;"9834";APV;YTD;0.0038107025806082855620
2021-09-26;"9834";APV;"1M";0.0019869268581541518429
2021-09-26;"9834";APV;"3M";0.0038005557394173169846
2021-09-26;"9834";APV;"6M";0.0038005557394173169846
2021-09-26;"9834";APV;"1Y";0.0038005557394173169846
2021-09-26;"9834";APV;YTD;0.0038005557394173169846
2021-09-27;"9834";APV;"1M";-0.0010694524299411098260
2021-09-27;"9834";APV;"3M";0.0027255030399014647044
2021-09-27;"9834";APV;"6M";0.0027255030399014647044
2021-09-27;"9834";APV;"1Y";0.0027255030399014647044
2021-09-27;"9834";APV;YTD;0.0027255030399014647044
2021-09-28;"9834";APV;"1M";-0.0018172890372789258564
2021-09-28;"9834";APV;"3M";0.0019658223640685447722
2021-09-28;"9834";APV;"6M";0.0019658223640685447722
2021-09-28;"9834";APV;"1Y";0.0019658223640685447722
2021-09-28;"9834";APV;YTD;0.0019658223640685447722
2021-09-29;"9834";APV;"1M";-0.0020319348686251950760
2021-09-29;"9834";APV;"3M";0.0017413619377228763125
2021-09-29;"9834";APV;"6M";0.0017413619377228763125
2021-09-29;"9834";APV;"1Y";0.0017413619377228763125
2021-09-29;"9834";APV;YTD;0.0017413619377228763125
2021-09-30;"9834";APV;"1M";-0.0028782609946315939884
2021-09-30;"9834";APV;"3M";0.0019003291163813839830
2021-09-30;"9834";APV;"6M";0.0019003291163813839830
2021-09-30;"9834";APV;"1Y";0.0019003291163813839830
2021-09-30;"9834";APV;YTD;0.0019003291163813839830
2021-10-01;"9834";APV;"1M";-0.0021338713404162584420
2021-10-01;"9834";APV;"3M";0.0030133043536816540009
2021-10-01;"9834";APV;"6M";0.0030133043536816540009
2021-10-01;"9834";APV;"1Y";0.0030133043536816540009
2021-10-01;"9834";APV;YTD;0.0030133043536816540009
2021-10-02;"9834";APV;"1M";-0.0017396591067900148363
2021-10-02;"9834";APV;"3M";0.0024245194316490438807
2021-10-02;"9834";APV;"6M";0.0030015176189648723196
2021-10-02;"9834";APV;"1Y";0.0030015176189648723196
2021-10-02;"9834";APV;YTD;0.0030015176189648723196
2021-10-03;"9834";APV;"1M";-0.0024308476049382303873
2021-10-03;"9834";APV;"3M";0.0024203379684219800628
2021-10-03;"9834";APV;"6M";0.0029897308842480906394
2021-10-03;"9834";APV;"1Y";0.0029897308842480906394
2021-10-03;"9834";APV;YTD;0.0029897308842480906394
2021-10-04;"9834";APV;"1M";-0.0030206928469561148171
2021-10-04;"9834";APV;"3M";0.0018275599232427647212
2021-10-04;"9834";APV;"6M";0.0023888124003829517403
2021-10-04;"9834";APV;"1Y";0.0023888124003829517403
2021-10-04;"9834";APV;YTD;0.0023888124003829517403
2021-10-05;"9834";APV;"1M";-0.0030640411825402754523
2021-10-05;"9834";APV;"3M";0.0019107896557751773722
2021-10-05;"9834";APV;"6M";0.0023374632343559289548
2021-10-05;"9834";APV;"1Y";0.0023374632343559289548
2021-10-05;"9834";APV;YTD;0.0023374632343559289548
2021-10-06;"9834";APV;"1M";-0.0042874044154179779334
2021-10-06;"9834";APV;"3M";0.0012410140007946863525
2021-10-06;"9834";APV;"6M";0.0011384960802958240973
2021-10-06;"9834";APV;"1Y";0.0011384960802958240973
2021-10-06;"9834";APV;YTD;0.0011384960802958240973
2021-10-07;"9834";APV;"1M";-0.0031518681902650531943
2021-10-07;"9834";APV;"3M";0.0026387548596633519471
2021-10-07;"9834";APV;"6M";0.0020693406428854797786
2021-10-07;"9834";APV;"1Y";0.0020693406428854797786
2021-10-07;"9834";APV;YTD;0.0020693406428854797786
2021-10-08;"9834";APV;"1M";-0.0041995098634124212441
2021-10-08;"9834";APV;"3M";0.0014466448557135271896
2021-10-08;"9834";APV;"6M";0.0007708524504775922517
2021-10-08;"9834";APV;"1Y";0.0007708524504775922517
2021-10-08;"9834";APV;YTD;0.0007708524504775922517
2021-10-09;"9834";APV;"1M";-0.0043417127158301261992
2021-10-09;"9834";APV;"3M";0.0001273186226891568255
2021-10-09;"9834";APV;"6M";0.0007605006225958970435
2021-10-09;"9834";APV;"1Y";0.0007605006225958970435
2021-10-09;"9834";APV;YTD;0.0007605006225958970435
2021-10-10;"9834";APV;"1M";-0.0049655678439585302663
2021-10-10;"9834";APV;"3M";0.0001240418001405893054
2021-10-10;"9834";APV;"6M";0.0007500463013688385102
2021-10-10;"9834";APV;"1Y";0.0007500463013688385102
2021-10-10;"9834";APV;YTD;0.0007500463013688385102
2021-10-11;"9834";APV;"1M";-0.0049663292800743697736
2021-10-11;"9834";APV;"3M";0.0001208673729487706361
2021-10-11;"9834";APV;"6M";0.0007395919801417799821
2021-10-11;"9834";APV;"1Y";0.0007395919801417799821
2021-10-11;"9834";APV;YTD;0.0007395919801417799821
2021-10-12;"9834";APV;"1M";-0.0071305369584059823624
2021-10-12;"9834";APV;"3M";-0.0024389654526993318089
2021-10-12;"9834";APV;"6M";-0.0014466935698031761184
2021-10-12;"9834";APV;"1Y";-0.0014466935698031761184
2021-10-12;"9834";APV;YTD;-0.0014466935698031761184
2021-10-13;"9834";APV;"1M";-0.0083834288320688501859
2021-10-13;"9834";APV;"3M";-0.0027525704383911258119
2021-10-13;"9834";APV;"6M";-0.0021988922314245737491
2021-10-13;"9834";APV;"1Y";-0.0021988922314245737491
2021-10-13;"9834";APV;YTD;-0.0021988922314245737491
2021-10-14;"9834";APV;"1M";-0.0075709496432847595566
2021-10-14;"9834";APV;"3M";-0.0025755247554913939183
2021-10-14;"9834";APV;"6M";-0.0013332334364859803697
2021-10-14;"9834";APV;"1Y";-0.0013332334364859803697
2021-10-14;"9834";APV;YTD;-0.0013332334364859803697
2021-10-15;"9834";APV;"1M";-0.0069018102622985872667
